2025-10-24 07:26:02,963 - ArduinoPanel - WARNING - Command kann nicht gesendet werden - nicht verbunden: {'id': '07d6ad91-edff-4e13-8aef-0680f0a4cb37', 'command': 'pin_mode', 'pin': 'D2', 'mode': 'OUTPUT'}
2025-10-24 07:26:02,963 - ArduinoPanel - WARNING - Command kann nicht gesendet werden - nicht verbunden: {'id': '58b04500-33ad-4e1e-9568-624276f89daa', 'command': 'pin_mode', 'pin': 'D2', 'mode': 'OUTPUT'}
2025-10-24 07:26:02,964 - ArduinoPanel - WARNING - Command kann nicht gesendet werden - nicht verbunden: {'id': '6d3209d2-d8d7-4da6-b1f9-bdc5ed50b4fb', 'command': 'pin_mode', 'pin': 'D2', 'mode': 'OUTPUT'}
2025-10-24 07:26:02,964 - ArduinoPanel - WARNING - Command kann nicht gesendet werden - nicht verbunden: {'id': 'c3dade31-fbeb-400a-86ba-653329280eba', 'command': 'pin_mode', 'pin': 'D2', 'mode': 'OUTPUT'}
2025-10-24 07:26:02,964 - ArduinoPanel - WARNING - Command kann nicht gesendet werden - nicht verbunden: {'id': 'a5503655-07eb-47e7-843c-cfbad261a02d', 'command': 'pin_mode', 'pin': 'D2', 'mode': 'OUTPUT'}
2025-10-24 07:26:02,964 - ArduinoPanel - WARNING - Command kann nicht gesendet werden - nicht verbunden: {'id': '22a19d60-c40a-4650-8dc6-8cfa7faec22a', 'command': 'pin_mode', 'pin': 'D2', 'mode': 'OUTPUT'}
2025-10-24 07:26:02,964 - ArduinoPanel - WARNING - Command kann nicht gesendet werden - nicht verbunden: {'id': '7d4270a7-8913-4385-ad18-f7eac2be1704', 'command': 'pin_mode', 'pin': 'D2', 'mode': 'OUTPUT'}
2025-10-24 07:26:02,964 - ArduinoPanel - WARNING - Command kann nicht gesendet werden - nicht verbunden: {'id': 'f0b40904-666e-4f76-83ab-48d6829b3eae', 'command': 'pin_mode', 'pin': 'D2', 'mode': 'OUTPUT'}
2025-10-24 07:26:02,964 - ArduinoPanel - WARNING - Command kann nicht gesendet werden - nicht verbunden: {'id': 'cfc6692c-c506-417a-bb6e-053f0dc4755a', 'command': 'pin_mode', 'pin': 'D2', 'mode': 'OUTPUT'}
2025-10-24 07:26:02,964 - ArduinoPanel - WARNING - Command kann nicht gesendet werden - nicht verbunden: {'id': '3f115978-e794-4b05-85f6-287d0d61f17f', 'command': 'pin_mode', 'pin': 'D2', 'mode': 'OUTPUT'}
2025-10-24 07:26:02,964 - ArduinoPanel - WARNING - Command kann nicht gesendet werden - nicht verbunden: {'id': '6e2c0a3d-804c-4c05-8118-600787c373e7', 'command': 'pin_mode', 'pin': 'D2', 'mode': 'OUTPUT'}
2025-10-24 07:26:02,965 - ArduinoPanel - WARNING - Command kann nicht gesendet werden - nicht verbunden: {'id': 'ba88e5bf-c9e6-4c16-85f6-7bc38ef0651e', 'command': 'pin_mode', 'pin': 'D2', 'mode': 'OUTPUT'}
2025-10-24 07:26:02,965 - ArduinoPanel - INFO - Richte Keyboard Shortcuts ein...
2025-10-24 07:26:24,902 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': '236a7963-44c0-4cb7-a986-4c459317d1a7', 'command': 'digital_write', 'pin': 'D2', 'value': 1}
2025-10-24 07:26:24,908 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': '6b6ffac9-8352-416b-9b69-db044e3bb00f', 'command': 'digital_write', 'pin': 'D2', 'value': 1}
2025-10-24 07:26:26,552 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': '56fdd2f1-1c2d-4f1f-8df5-85db6b0277e6', 'command': 'digital_write', 'pin': 'D2', 'value': 0}
2025-10-24 07:26:26,558 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': '8663e427-e508-4a30-8423-99cc3662e52f', 'command': 'digital_write', 'pin': 'D2', 'value': 0}
2025-10-24 07:26:29,014 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': '9fd166ec-ea1e-4a1f-b2bd-4e595d09307c', 'command': 'pin_mode', 'pin': 'D3', 'mode': 'OUTPUT'}
2025-10-24 07:26:29,053 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': '117823bc-1846-42b1-9e4b-09b7a6160794', 'command': 'pin_mode', 'pin': 'D4', 'mode': 'OUTPUT'}
2025-10-24 07:26:29,073 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': '1fa44a77-d4db-47b7-aab6-70dada649213', 'command': 'pin_mode', 'pin': 'D5', 'mode': 'OUTPUT'}
2025-10-24 07:26:29,110 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': '2f83686d-5e05-4461-88dd-a35aa8e89a1a', 'command': 'pin_mode', 'pin': 'D6', 'mode': 'OUTPUT'}
2025-10-24 07:26:29,340 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': '002d37d6-4ecf-47a1-bbb6-f98f183a086f', 'command': 'pin_mode', 'pin': 'D7', 'mode': 'OUTPUT'}
2025-10-24 07:26:29,366 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': '16b4999a-dc38-4f54-b9d1-c81d7298bcfb', 'command': 'pin_mode', 'pin': 'D8', 'mode': 'OUTPUT'}
2025-10-24 07:26:29,388 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': 'eb4330c8-9c51-4365-9437-5357de47d74e', 'command': 'pin_mode', 'pin': 'D9', 'mode': 'OUTPUT'}
2025-10-24 07:26:29,888 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': 'a3e199b6-2252-4c2c-8682-5e3b2a7f8f89', 'command': 'pin_mode', 'pin': 'D8', 'mode': 'OUTPUT'}
2025-10-24 07:26:30,915 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': '2bbe9866-c0b1-49b1-a48f-8769c378ef8f', 'command': 'pin_mode', 'pin': 'D3', 'mode': 'OUTPUT'}
2025-10-24 07:26:31,120 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': 'a7683a2a-98b6-4766-98e4-0b2733936b54', 'command': 'pin_mode', 'pin': 'D4', 'mode': 'OUTPUT'}
2025-10-24 07:26:31,169 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': '0cb8c13a-b554-4d84-a167-466e1f3ba7b3', 'command': 'pin_mode', 'pin': 'D5', 'mode': 'OUTPUT'}
2025-10-24 07:26:31,489 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': '9847de26-e279-4f4d-8a75-3706a693020b', 'command': 'pin_mode', 'pin': 'D6', 'mode': 'OUTPUT'}
2025-10-24 07:26:31,516 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': 'ef25a96c-022a-48d6-9449-ee87b8f3ae00', 'command': 'pin_mode', 'pin': 'D7', 'mode': 'OUTPUT'}
2025-10-24 07:26:31,855 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': '37d777af-bd96-44a3-97b4-46056e25e81f', 'command': 'pin_mode', 'pin': 'D8', 'mode': 'OUTPUT'}
2025-10-24 07:26:33,046 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': '562781dc-7571-4152-bbfa-dcce1b0a82ab', 'command': 'pin_mode', 'pin': 'D9', 'mode': 'OUTPUT'}
2025-10-24 07:26:33,734 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': '7da93196-2f07-440a-aa3c-f605e6ed7b2e', 'command': 'pin_mode', 'pin': 'D3', 'mode': 'OUTPUT'}
2025-10-24 07:26:33,755 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': '950a7b63-4b90-4338-be02-1c73ced9dfc9', 'command': 'pin_mode', 'pin': 'D4', 'mode': 'OUTPUT'}
2025-10-24 07:26:33,823 - ArduinoPanel - INFO - Sende Command an Arduino: {'id': 'abd1d30f-08d7-47eb-a539-f3253215144b', 'command': 'pin_mode', 'pin': 'D5', 'mode': 'OUTPUT'}
